text,label
Sicredi informa: seu extrato mensal já está disponível no caixa eletrônico. Acesse o app oficial para consultar seus lançamentos.,0
"Parabéns! Você foi premiado pelo Bradesco com limite extra de R$ 9633,00. Para liberar na hora clique em verificacao-digital.com/bonus.",1
Mensagem de voz aguardando com detalhes de movimentação suspeita na sua conta Nubank. Ouça em banco-seguro.com/voz-banco.,1
Caixa: saque em lotérica no valor de R$ 200 realizado com sucesso.,0
"Itaú: débito automático da sua conta de luz no valor de R$ 281,00 será realizado em 8/07.",0
"Banco do Brasil: compra aprovada no valor de R$ 129,00 no seu cartão virtual. Se não reconhecer, contate o banco pelo 4004 9090.",0
Recebemos uma tentativa de acesso suspeito. Verifique seus dados em https://acesso-seguro.com/7290.,1
Mensagem de voz aguardando com detalhes de movimentação suspeita na sua conta Sicredi. Ouça em minha-conta-segura.com/voz-banco.,1
Mensagem recebida. Te respondo assim que sair da reunião.,0
ATENÇÃO Banco do Brasil: sua conta foi BLOQUEADA por segurança. Acesse imediatamente minha-conta-segura.com/reativar para desbloquear e evitar cancelamento definitivo.,1
"Pedido recebido, prazo de entrega entre 3 e 5 dias úteis.",0
Bradesco: sua fatura foi fechada com vencimento em 3/07. Consulte o valor e o código de barras diretamente pelo aplicativo.,0
Inter: sua fatura foi fechada com vencimento em 1/07. Consulte o valor e o código de barras diretamente pelo aplicativo.,0
Caixa ALERTA: identificamos um PIX suspeito em sua conta. Cancele agora em verificacao-digital.com/cancelar para não perder seu dinheiro.,1
Último aviso: seu cartão virtual do Nubank será CANCELADO hoje. Regularize seus dados em verificacao-digital.com/urgente e evite bloqueio total.,1
Sicredi: atualização concluída. Seus dados cadastrais foram atualizados com sucesso em nossa agência digital. Nenhuma ação adicional é necessária.,0
"Cartão adicional aprovado! Para receber, confirme seus dados em https://cartao-aprovado.com/7702.",1
Sicredi informa: seu extrato mensal já está disponível no WhatsApp oficial. Acesse o app oficial para consultar seus lançamentos.,0
"Itaú: seu limite do cartão de crédito foi ajustado para R$ 5741,00 a partir de hoje. Consulte os detalhes no app.",0
"Oi Ana, podemos remarcar nosso encontro para sexta à noite?",0
Seu cartão do Bradesco foi BLOQUEADO. Regularize em até 24h acessando: https://bradesco-secure.com/2281,1
Nubank: detectamos tentativa de acesso não autorizado. Confirme seus dados em banco-seguro.com/validacao em até 10 minutos para manter sua conta ativa.,1
Sicredi: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em minha-conta-segura.com/pix-seguro.,1
ATENÇÃO Inter: sua conta foi BLOQUEADA por segurança. Acesse imediatamente minha-conta-segura.com/reativar para desbloquear e evitar cancelamento definitivo.,1
Banco do Brasil: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em cliente-atualiza.com/pix-seguro.,1
ATENÇÃO Itaú: sua conta foi BLOQUEADA por segurança. Acesse imediatamente banco-seguro.com/reativar para desbloquear e evitar cancelamento definitivo.,1
Amazon: sua assinatura foi renovada com sucesso.,0
"Bradesco: pagamento do seu boleto no valor de R$ 396,00 foi confirmado. Obrigado por utilizar nossos canais digitais.",0
ATENÇÃO Santander: sua conta foi BLOQUEADA por segurança. Acesse imediatamente verificacao-digital.com/reativar para desbloquear e evitar cancelamento definitivo.,1
ATENÇÃO Sicredi: sua conta foi BLOQUEADA por segurança. Acesse imediatamente cliente-atualiza.com/reativar para desbloquear e evitar cancelamento definitivo.,1
Mensagem de voz aguardando com detalhes de movimentação suspeita na sua conta Sicredi. Ouça em minha-conta-segura.com/voz-banco.,1
C6 Bank informa: seu extrato mensal já está disponível no caixa eletrônico. Acesse o app oficial para consultar seus lançamentos.,0
Você participou da pesquisa de satisfação. Obrigado pelo feedback!,0
Itaú: atualização concluída. Seus dados cadastrais foram atualizados com sucesso em nossa agência digital. Nenhuma ação adicional é necessária.,0
"Inter: compra aprovada no valor de R$ 747,00 no seu cartão de crédito. Se não reconhecer, contate o banco pelo 3003 4455.",0
"Parabéns! Você foi premiado pelo Itaú com limite extra de R$ 8651,00. Para liberar na hora clique em seguroonline.app/bonus.",1
Sicredi informa: seu extrato mensal já está disponível no Internet Banking. Acesse o app oficial para consultar seus lançamentos.,0
Inter: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em verificacao-digital.com/pix-seguro.,1
ATENÇÃO Bradesco: sua conta foi BLOQUEADA por segurança. Acesse imediatamente verificacao-digital.com/reativar para desbloquear e evitar cancelamento definitivo.,1
Bradesco: sua fatura foi fechada com vencimento em 20/08. Consulte o valor e o código de barras diretamente pelo aplicativo.,0
Sicredi: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em minha-conta-segura.com/pix-seguro.,1
Seu acesso ao aplicativo da Caixa será encerrado hoje. Atualize sua senha em https://caixa-loginseguro.com/5510.,1
Último aviso: seu cartão de crédito do Banco do Brasil será CANCELADO hoje. Regularize seus dados em verificacao-digital.com/urgente e evite bloqueio total.,1
Banco do Brasil: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em cliente-atualiza.com/pix-seguro.,1
WhatsApp: sua conta será desativada. Confirme seu número em https://whats-verifica.com/7320.,1
"Banco do Brasil: recebemos uma transferência chave PIX de R$ 89,00 para sua conta. Caso não reconheça, fale com o gerente pelo app.",0
"Parabéns! Você foi premiado pelo Bradesco com limite extra de R$ 9526,00. Para liberar na hora clique em banco-seguro.com/bonus.",1
"Bradesco: recebemos uma transferência PIX de R$ 2284,00 para sua conta. Caso não reconheça, fale com o gerente pelo app.",0
Seu código de login é 774821. Não compartilhe este código com ninguém.,0
ATENÇÃO Bradesco: sua conta foi BLOQUEADA por segurança. Acesse imediatamente minha-conta-segura.com/reativar para desbloquear e evitar cancelamento definitivo.,1
"Itaú: recebemos uma transferência transferência PIX de R$ 2203,00 para sua conta. Caso não reconheça, fale com o gerente pelo app.",0
"Nubank: recebemos uma transferência chave PIX de R$ 1343,00 para sua conta. Caso não reconheça, fale com o gerente pelo app.",0
"Caixa: pagamento do seu boleto no valor de R$ 583,00 foi confirmado. Obrigado por utilizar nossos canais digitais.",0
Último aviso: seu cartão débito do Bradesco será CANCELADO hoje. Regularize seus dados em seguroonline.app/urgente e evite bloqueio total.,1
Sicredi: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em minha-conta-segura.com/pix-seguro.,1
Inter: seu cadastro está irregular na Receita Federal. Evite multa atualizando CPF e endereço em cliente-atualiza.com/receita agora.,1
Caixa: atualização concluída. Seus dados cadastrais foram atualizados com sucesso em nossa agência digital. Nenhuma ação adicional é necessária.,0
"Santander: lembramos que o banco nunca solicita senha ou código de segurança por SMS, e não envia links encurtados. Em caso de dúvida, acesse somente o app oficial.",0
"Inter: recebemos uma transferência chave PIX de R$ 245,00 para sua conta. Caso não reconheça, fale com o gerente pelo app.",0
"Banco do Brasil: débito automático da sua conta de luz no valor de R$ 252,00 será realizado em 14/08.",0
Boa tarde! Seu exame já está disponível no portal do laboratório.,0
Sicredi: sua fatura foi fechada com vencimento em 26/06. Consulte o valor e o código de barras diretamente pelo aplicativo.,0
"Nubank: débito automático da sua conta de luz no valor de R$ 225,00 será realizado em 15/08.",0
Último aviso: seu cartão débito do Inter será CANCELADO hoje. Regularize seus dados em cliente-atualiza.com/urgente e evite bloqueio total.,1
Último aviso: seu cartão de crédito do C6 Bank será CANCELADO hoje. Regularize seus dados em minha-conta-segura.com/urgente e evite bloqueio total.,1
"Bom dia, segue em anexo o relatório solicitado.",0
ATENÇÃO Inter: sua conta foi BLOQUEADA por segurança. Acesse imediatamente minha-conta-segura.com/reativar para desbloquear e evitar cancelamento definitivo.,1
Bradesco ALERTA: identificamos um PIX suspeito em sua conta. Cancele agora em minha-conta-segura.com/cancelar para não perder seu dinheiro.,1
Reforçando: prova de lógica de programação na segunda-feira às 20h.,0
Nubank: sua fatura foi fechada com vencimento em 3/07. Consulte o valor e o código de barras diretamente pelo aplicativo.,0
Banco do Brasil: sua fatura foi fechada com vencimento em 16/07. Consulte o valor e o código de barras diretamente pelo aplicativo.,0
Prêmio exclusivo para você! Resgate agora seu prêmio de R$ 1000: https://premio-clientevip.com/5920,1
ATENÇÃO Banco do Brasil: sua conta foi BLOQUEADA por segurança. Acesse imediatamente seguroonline.app/reativar para desbloquear e evitar cancelamento definitivo.,1
Bradesco: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em seguroonline.app/pix-seguro.,1
Nubank: detectamos tentativa de acesso não autorizado. Confirme seus dados em cliente-atualiza.com/validacao em até 10 minutos para manter sua conta ativa.,1
Caixa: detectamos tentativa de acesso não autorizado. Confirme seus dados em banco-seguro.com/validacao em até 10 minutos para manter sua conta ativa.,1
"Banco do Brasil: compra aprovada no valor de R$ 944,00 no seu cartão virtual. Se não reconhecer, contate o banco pelo 0800 123 4567.",0
"Sicredi: débito automático da sua conta de luz no valor de R$ 310,00 será realizado em 15/06.",0
"Parabéns! Você foi premiado pelo Caixa com limite extra de R$ 7444,00. Para liberar na hora clique em seguroonline.app/bonus.",1
Nubank: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em seguroonline.app/pix-seguro.,1
"Santander: compra aprovada no valor de R$ 54,00 no seu cartão de crédito. Se não reconhecer, contate o banco pelo 4004 9090.",0
Último aviso: seu cartão de crédito do Sicredi será CANCELADO hoje. Regularize seus dados em verificacao-digital.com/urgente e evite bloqueio total.,1
"Parabéns! Você foi premiado pelo Santander com limite extra de R$ 6286,00. Para liberar na hora clique em cliente-atualiza.com/bonus.",1
Mensagem de voz aguardando com detalhes de movimentação suspeita na sua conta Bradesco. Ouça em seguroonline.app/voz-banco.,1
Lembrete: pagamento do aluguel vence amanhã.,0
"Oi João, vamos jantar hoje?",0
Banco do Brasil: sua fatura foi fechada com vencimento em 28/09. Consulte o valor e o código de barras diretamente pelo aplicativo.,0
Caixa: sua fatura foi fechada com vencimento em 9/06. Consulte o valor e o código de barras diretamente pelo aplicativo.,0
Sicredi: detectamos tentativa de acesso não autorizado. Confirme seus dados em seguroonline.app/validacao em até 10 minutos para manter sua conta ativa.,1
Nubank informa: seu extrato mensal já está disponível no Internet Banking. Acesse o app oficial para consultar seus lançamentos.,0
"Banco do Brasil: pagamento do seu boleto no valor de R$ 878,00 foi confirmado. Obrigado por utilizar nossos canais digitais.",0
Santander: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em seguroonline.app/pix-seguro.,1
"Oi mãe, chego aí às 19h para o jantar.",0
"C6 Bank: pagamento do seu boleto no valor de R$ 842,00 foi confirmado. Obrigado por utilizar nossos canais digitais.",0
"Itaú: débito automático da sua conta de luz no valor de R$ 303,00 será realizado em 12/06.",0
"Inter: seu limite do cartão virtual foi ajustado para R$ 3948,00 a partir de hoje. Consulte os detalhes no app.",0
"Banco do Brasil: compra aprovada no valor de R$ 360,00 no seu cartão virtual. Se não reconhecer, contate o banco pelo 3003 4455.",0
Novo recurso PIX premiado disponível! Ative em https://pix-premiado.com/6631 e ganhe bônus.,1
ATENÇÃO Nubank: sua conta foi BLOQUEADA por segurança. Acesse imediatamente seguroonline.app/reativar para desbloquear e evitar cancelamento definitivo.,1
Uber: cupom de desconto de 20% disponível para sua próxima corrida.,0
"Banco do Brasil: débito automático da sua conta de luz no valor de R$ 165,00 será realizado em 16/06.",0
"Bradesco: pagamento do seu boleto no valor de R$ 1092,00 foi confirmado. Obrigado por utilizar nossos canais digitais.",0
Mensagem de voz aguardando com detalhes de movimentação suspeita na sua conta Inter. Ouça em minha-conta-segura.com/voz-banco.,1
"Banco do Brasil: pagamento do seu boleto no valor de R$ 1214,00 foi confirmado. Obrigado por utilizar nossos canais digitais.",0
Obrigado pela presença hoje! Foi muito bom te ver.,0
Mensagem de voz aguardando com detalhes de movimentação suspeita na sua conta Itaú. Ouça em verificacao-digital.com/voz-banco.,1
Caixa: sua fatura foi fechada com vencimento em 27/06. Consulte o valor e o código de barras diretamente pelo aplicativo.,0
"Bradesco: compra aprovada no valor de R$ 132,00 no seu cartão virtual. Se não reconhecer, contate o banco pelo 0800 987 6543.",0
"C6 Bank: recebemos uma transferência chave PIX de R$ 2153,00 para sua conta. Caso não reconheça, fale com o gerente pelo app.",0
Último aviso: seu cartão débito do Itaú será CANCELADO hoje. Regularize seus dados em seguroonline.app/urgente e evite bloqueio total.,1
"Itaú: recebemos uma transferência PIX de R$ 157,00 para sua conta. Caso não reconheça, fale com o gerente pelo app.",0
Inter: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em verificacao-digital.com/pix-seguro.,1
Mensagem de voz aguardando com detalhes de movimentação suspeita na sua conta Sicredi. Ouça em verificacao-digital.com/voz-banco.,1
ATENÇÃO Inter: sua conta foi BLOQUEADA por segurança. Acesse imediatamente banco-seguro.com/reativar para desbloquear e evitar cancelamento definitivo.,1
"Parabéns! Você foi premiado pelo Banco do Brasil com limite extra de R$ 6516,00. Para liberar na hora clique em seguroonline.app/bonus.",1
Bradesco: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em cliente-atualiza.com/pix-seguro.,1
Mensagem de voz aguardando com detalhes de movimentação suspeita na sua conta Itaú. Ouça em seguroonline.app/voz-banco.,1
"Sicredi: débito automático da sua conta de luz no valor de R$ 165,00 será realizado em 9/07.",0
Sicredi: seu cadastro está irregular na Receita Federal. Evite multa atualizando CPF e endereço em cliente-atualiza.com/receita agora.,1
Mensagem de voz aguardando com detalhes de movimentação suspeita na sua conta Sicredi. Ouça em seguroonline.app/voz-banco.,1
Banco do Brasil informa: seu extrato mensal já está disponível no Internet Banking. Acesse o app oficial para consultar seus lançamentos.,0
Confirme seus dados para liberar seu cartão virtual Caixa: https://caixa-cartaoonline.com/9822,1
Último aviso: seu cartão virtual do Banco do Brasil será CANCELADO hoje. Regularize seus dados em cliente-atualiza.com/urgente e evite bloqueio total.,1
"Parabéns! Você foi premiado pelo Inter com limite extra de R$ 7667,00. Para liberar na hora clique em seguroonline.app/bonus.",1
"Bradesco: pagamento do seu boleto no valor de R$ 86,00 foi confirmado. Obrigado por utilizar nossos canais digitais.",0
Santander informa: seu extrato mensal já está disponível no WhatsApp oficial. Acesse o app oficial para consultar seus lançamentos.,0
Inter: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em seguroonline.app/pix-seguro.,1
"Sicredi: débito automático da sua conta de luz no valor de R$ 88,00 será realizado em 23/08.",0
Banco do Brasil: seu cadastro está irregular na Receita Federal. Evite multa atualizando CPF e endereço em cliente-atualiza.com/receita agora.,1
Inter: seu cadastro está irregular na Receita Federal. Evite multa atualizando CPF e endereço em cliente-atualiza.com/receita agora.,1
Shopee: seu pacote foi recebido pela transportadora.,0
ATENÇÃO Santander: sua conta foi BLOQUEADA por segurança. Acesse imediatamente minha-conta-segura.com/reativar para desbloquear e evitar cancelamento definitivo.,1
Caixa informa: seu extrato mensal já está disponível no central telefônica. Acesse o app oficial para consultar seus lançamentos.,0
"Banco do Brasil: seu limite do cartão débito foi ajustado para R$ 1025,00 a partir de hoje. Consulte os detalhes no app.",0
Banco do Brasil: detectamos tentativa de acesso não autorizado. Confirme seus dados em seguroonline.app/validacao em até 10 minutos para manter sua conta ativa.,1
"Santander: seu limite do cartão de crédito foi ajustado para R$ 5937,00 a partir de hoje. Consulte os detalhes no app.",0
"Oi, já estou chegando. Trânsito um pouco lento.",0
Santander informa: seu extrato mensal já está disponível no central telefônica. Acesse o app oficial para consultar seus lançamentos.,0
Bradesco: sua fatura foi fechada com vencimento em 26/09. Consulte o valor e o código de barras diretamente pelo aplicativo.,0
Uber: sua viagem com destino ao trabalho foi concluída.,0
Banco do Brasil: sua conta será encerrada por falta de atualização cadastral. Evite o encerramento acessando https://bb-atualizacao.com/8153.,1
Sicredi: sua fatura foi fechada com vencimento em 23/08. Consulte o valor e o código de barras diretamente pelo aplicativo.,0
"Banco do Brasil: débito automático da sua conta de luz no valor de R$ 108,00 será realizado em 24/06.",0
Inter: comprovante de TED enviado para seu e-mail cadastrado.,0
Caixa: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em cliente-atualiza.com/pix-seguro.,1
Sicredi informa: seu extrato mensal já está disponível no app. Acesse o app oficial para consultar seus lançamentos.,0
ATENÇÃO Bradesco: sua conta foi BLOQUEADA por segurança. Acesse imediatamente verificacao-digital.com/reativar para desbloquear e evitar cancelamento definitivo.,1
Itaú: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em banco-seguro.com/pix-seguro.,1
Seu acesso ao Internet Banking Itaú foi bloqueado. Desbloqueie em https://itau-desbloqueio.com/9004.,1
"Parabéns! Você ganhou R$ 500, clique no link para resgatar: https://itau-bonus.com/4829",1
ATENÇÃO Banco do Brasil: sua conta foi BLOQUEADA por segurança. Acesse imediatamente banco-seguro.com/reativar para desbloquear e evitar cancelamento definitivo.,1
"Parabéns! Você foi premiado pelo Sicredi com limite extra de R$ 12099,00. Para liberar na hora clique em banco-seguro.com/bonus.",1
Inter: seu cadastro está irregular na Receita Federal. Evite multa atualizando CPF e endereço em minha-conta-segura.com/receita agora.,1
"Santander: pagamento do seu boleto no valor de R$ 261,00 foi confirmado. Obrigado por utilizar nossos canais digitais.",0
Último aviso: seu cartão de crédito do Caixa será CANCELADO hoje. Regularize seus dados em verificacao-digital.com/urgente e evite bloqueio total.,1
Bradesco: sua fatura foi fechada com vencimento em 20/08. Consulte o valor e o código de barras diretamente pelo aplicativo.,0
Sua encomenda Mercado Livre está parada na transportadora. Libere em https://ml-rastreamento.com/6690.,1
Inter: detectamos tentativa de acesso não autorizado. Confirme seus dados em seguroonline.app/validacao em até 10 minutos para manter sua conta ativa.,1
"Sicredi: lembramos que o banco nunca solicita senha ou código de segurança por SMS, e não envia links encurtados. Em caso de dúvida, acesse somente o app oficial.",0
Caixa: FGTS disponível para consulta no app.,0
"Parabéns! Você foi premiado pelo C6 Bank com limite extra de R$ 10619,00. Para liberar na hora clique em banco-seguro.com/bonus.",1
"Caixa: pagamento do seu boleto no valor de R$ 92,00 foi confirmado. Obrigado por utilizar nossos canais digitais.",0
Compra não reconhecida de R$ 1500 em seu cartão. Cancele em https://cancelar-compra.com/7742.,1
Banco do Brasil: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em cliente-atualiza.com/pix-seguro.,1
Nubank: atualização concluída. Seus dados cadastrais foram atualizados com sucesso em nossa agência digital. Nenhuma ação adicional é necessária.,0
"Bradesco: débito automático da sua conta de luz no valor de R$ 345,00 será realizado em 15/06.",0
"Nubank: compra aprovada no valor de R$ 509,00 no seu cartão débito. Se não reconhecer, contate o banco pelo 0800 123 4567.",0
"Bradesco: débito automático da sua conta de luz no valor de R$ 308,00 será realizado em 16/08.",0
Último aviso: seu cartão de crédito do Inter será CANCELADO hoje. Regularize seus dados em banco-seguro.com/urgente e evite bloqueio total.,1
"Parabéns! Você foi premiado pelo Inter com limite extra de R$ 14736,00. Para liberar na hora clique em cliente-atualiza.com/bonus.",1
"Sicredi: compra aprovada no valor de R$ 86,00 no seu cartão virtual. Se não reconhecer, contate o banco pelo 4004 9090.",0
Itaú: sua fatura foi fechada com vencimento em 20/06. Consulte o valor e o código de barras diretamente pelo aplicativo.,0
Bradesco: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em cliente-atualiza.com/pix-seguro.,1
Mensagem de voz aguardando com detalhes de movimentação suspeita na sua conta Bradesco. Ouça em banco-seguro.com/voz-banco.,1
"Bradesco: débito automático da sua conta de luz no valor de R$ 219,00 será realizado em 5/09.",0
Itaú: transferência de R$ 350 realizada com sucesso.,0
ATENÇÃO Nubank: sua conta foi BLOQUEADA por segurança. Acesse imediatamente seguroonline.app/reativar para desbloquear e evitar cancelamento definitivo.,1
iFood: seu entregador João já está a caminho. Tempo estimado: 25 minutos.,0
Itaú: atualização concluída. Seus dados cadastrais foram atualizados com sucesso em nossa agência digital. Nenhuma ação adicional é necessária.,0
"Sicredi: seu limite do cartão débito foi ajustado para R$ 7842,00 a partir de hoje. Consulte os detalhes no app.",0
"C6 Bank: pagamento do seu boleto no valor de R$ 490,00 foi confirmado. Obrigado por utilizar nossos canais digitais.",0
"Sicredi: lembramos que o banco nunca solicita senha ou código de segurança por SMS, e não envia links encurtados. Em caso de dúvida, acesse somente o app oficial.",0
"Parabéns! Você foi premiado pelo Bradesco com limite extra de R$ 11185,00. Para liberar na hora clique em seguroonline.app/bonus.",1
Santander ALERTA: identificamos um PIX suspeito em sua conta. Cancele agora em minha-conta-segura.com/cancelar para não perder seu dinheiro.,1
Inter: detectamos tentativa de acesso não autorizado. Confirme seus dados em cliente-atualiza.com/validacao em até 10 minutos para manter sua conta ativa.,1
ATENÇÃO Santander: sua conta foi BLOQUEADA por segurança. Acesse imediatamente banco-seguro.com/reativar para desbloquear e evitar cancelamento definitivo.,1
Sicredi: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em banco-seguro.com/pix-seguro.,1
Itaú ALERTA: identificamos um PIX suspeito em sua conta. Cancele agora em verificacao-digital.com/cancelar para não perder seu dinheiro.,1
Nubank ALERTA: identificamos um PIX suspeito em sua conta. Cancele agora em minha-conta-segura.com/cancelar para não perder seu dinheiro.,1
Caixa: sua fatura foi fechada com vencimento em 15/07. Consulte o valor e o código de barras diretamente pelo aplicativo.,0
Itaú: detectamos tentativa de acesso não autorizado. Confirme seus dados em cliente-atualiza.com/validacao em até 10 minutos para manter sua conta ativa.,1
Itaú: sua chave PIX foi temporariamente suspensa. Reative informando seus dados completos em minha-conta-segura.com/pix-seguro.,1
"Oi Gabriel, obrigado por ajudar com o projeto hoje!",0
"Itaú: seu limite do cartão virtual foi ajustado para R$ 5009,00 a partir de hoje. Consulte os detalhes no app.",0
"Parabéns! Você foi premiado pelo Caixa com limite extra de R$ 6436,00. Para liberar na hora clique em verificacao-digital.com/bonus.",1
"Itaú: recebemos uma transferência transferência PIX de R$ 570,00 para sua conta. Caso não reconheça, fale com o gerente pelo app.",0
ATENÇÃO Bradesco: sua conta foi BLOQUEADA por segurança. Acesse imediatamente minha-conta-segura.com/reativar para desbloquear e evitar cancelamento definitivo.,1
Mensagem de voz aguardando com detalhes de movimentação suspeita na sua conta Santander. Ouça em banco-seguro.com/voz-banco.,1
Último aviso: seu cartão de crédito do Itaú será CANCELADO hoje. Regularize seus dados em minha-conta-segura.com/urgente e evite bloqueio total.,1
"Banco do Brasil: recebemos uma transferência chave PIX de R$ 1153,00 para sua conta. Caso não reconheça, fale com o gerente pelo app.",0
"Caixa: recebemos uma transferência transferência PIX de R$ 258,00 para sua conta. Caso não reconheça, fale com o gerente pelo app.",0
Último aviso: seu cartão virtual do Bradesco será CANCELADO hoje. Regularize seus dados em minha-conta-segura.com/urgente e evite bloqueio total.,1
Último aviso: seu cartão virtual do Inter será CANCELADO hoje. Regularize seus dados em minha-conta-segura.com/urgente e evite bloqueio total.,1
